,Name,ReviewCount,Brand,ImageURL,Rating
2609,"Nicole by OPI Nail Lacquer, Next Stop the Bikini Zone A59, .5 fl oz",1,opi,https://i5.walmartimages.com/asr/a3436bdc-e2e5-4c0c-b55c-0b2cbfbd7757_1.dfbc7c5baecd7674a3dfb60c84daf4b7.jpeg | https://i5.walmartimages.com/asr/c2a0f417-6ff8-4897-90d1-245c95120968_1.fbe74583b49fae6e244072d37ecdfae7.jpeg | https://i5.walmartimages.com/asr/2b9ad826-a70f-4840-bd44-13aa1470333f_1.872ac5b64b61e2cc492e5cf7e748f0fb.jpeg | https://i5.walmartimages.com/asr/9ff61eaf-7d12-4e46-b952-8a621119f308_1.1d4cecd3bcac85150a68e70d3325c307.jpeg | https://i5.walmartimages.com/asr/da0b9c90-5ef0-468d-931a-2bb9fdf3793d_1.a609ee51799b22f581278fcdb3feb3f5.jpeg | https://i5.walmartimages.com/asr/75dbca18-fec4-4c55-abd1-04a576b35c11_1.80f4e1d7e02cb992f129610a507ae83e.jpeg,5
3124,"R+Co Aircraft Pomade Mousse, 5.6 Oz",1,,https://i5.walmartimages.com/asr/03319cbe-7f61-42d3-afa9-4c2ac5e2342e.2b236bcbb74ce2f85e3d3160d9b52236.jpeg | https://i5.walmartimages.com/asr/2f4285d4-4c45-494d-8eb5-63085eac9d66_1.6a8a578ebc6f354f12e190958f5e328a.jpeg,5
885,Candle Warmers Etc. Rustic Brown Hurricane Candle Warmer Lantern,10,"candle, warmers, etc",https://i5.walmartimages.com/asr/54376245-b5c1-4d6a-9972-bc41a2a825ea_1.f46b3671e8d222adc37867e197457837.png | https://i5.walmartimages.com/asr/91904d9e-c5bd-47a9-a9e3-c5ba4070103f_1.3a83b6ca0e7f670e6c016b80ba0194c8.png,5
3140,"Recovery Complex Anti-Frizz Shine Serum by Bain de Terre for Unisex, 4.2 oz",4,"bain, de, terre",https://i5.walmartimages.com/asr/fcdb4d2e-3727-4bc4-bb2a-63c585c236b0_1.4c8c7111e5dde79bad7e54b6f71a8781.jpeg | https://i5.walmartimages.com/asr/1e8c5630-bd1b-42bf-b29b-328734e30ea1_1.1c9ebfea6bdb2db875f2dad0f9e29b76.jpeg | https://i5.walmartimages.com/asr/a0be5e6f-2b7d-4949-a146-c6d36fc1e3bc_1.f3060628a171205ba3854294a3a300fc.jpeg | https://i5.walmartimages.com/asr/681df146-a265-4f3e-87ed-face6fffcd8a_1.845d323e06801631b2ecaf4a5a3b21d2.jpeg,5
3137,"ReNew Life CleanseMore, Veggie Caps, 60 ea",15,"renew, life",https://i5.walmartimages.com/asr/9f707fe4-9ee3-4dc5-b230-0005d2ba6f29_1.3b8ea51118f73b8528bbc6b808dd4ba4.jpeg | https://i5.walmartimages.com/asr/3fdd4912-70c4-4d75-bb00-72e390c9d6ac_1.db8927d28da7bb33697d9eff3b206fb8.jpeg,5
436,"Alba Botanica Very Emollient Herbal Healing Body Lotion, 32 oz.",3,"alba, botanica",https://i5.walmartimages.com/asr/6050a2f0-3f91-4fb5-a0d3-07878bbe0f21.2ba494455079455da1f24ff0a193245c.jpeg | https://i5.walmartimages.com/asr/d02a790a-e633-48d5-b212-7c4459df1afa.e650e4fd76d46d26b06d88bbaeca72c4.jpeg,5
1704,"Groganics DHT Ice Oil Scalp Moisturizer, 4 oz",1,groganics,https://i5.walmartimages.com/asr/ed63df5f-b0a6-44d9-b38a-5385a3705609_1.40863f65eaff18db5473f244c56dc91e.jpeg | https://i5.walmartimages.com/asr/92659bd4-c994-4582-8c7a-107740d94e9a_1.88e5b0706d483956e06cd810bd97b061.jpeg,5
3846,Vega Chlorella Dietary Supplement Powder 5.3 oz. Bottle,1,vega,https://i5.walmartimages.com/asr/e8ddd649-4959-4454-9798-cc185525baa6_1.c98f8adaf041556d63baadedf00316a9.jpeg | https://i5.walmartimages.com/asr/530a22d0-2e8b-4adc-99ef-7ffe4991422e_1.d6323950626acdfcc07e10a688c65ef5.jpeg | https://i5.walmartimages.com/asr/bf1b0107-e155-4186-899e-7657a21426dd_1.d6b02a5cb8f9664a850ff6be3293a18a.jpeg,5
1707,Guerlain L\homme Ideal Eau De Toilette Spray for Men 3.3 oz,1,guerlain,https://i5.walmartimages.com/asr/2f141245-7503-494e-8354-17ae43e807b5_1.5490debb7c8f5c5ea1e03889242cd3da.jpeg | https://i5.walmartimages.com/asr/da361afc-5d0f-4322-a6ca-1af5d0a9761c_1.15f352c3e504c7e3e4388c2de97a318b.jpeg | https://i5.walmartimages.com/asr/85e18009-5568-4fe2-be71-1ef473b9adc4_1.15f352c3e504c7e3e4388c2de97a318b.jpeg,5
428,"Alaffia Body Lotion, Vanilla, 32 Oz",2,alaffia,https://i5.walmartimages.com/asr/2988c323-cb6f-4a45-9bd7-9029d981630c_1.d65b6410f1b5a72233cdab07e25e153b.jpeg | https://i5.walmartimages.com/asr/c773f069-a99d-4d06-a4ff-d4c839063929_1.3a72dc9092da4efd57530dc86a077c6d.jpeg,5
Wahl Stainless Steel Lithium Ion+ Beard and Nose Trimmer for Men	50	wahl	https://i5.walmartimages.com/asr/37f8d6f7-0b77-4ec4-8f1d-6f4d5b905d85_1.8a35b1d702cf7cf9f3ec1c5155cbd6b5.jpeg | https://i5.walmartimages.com/asr/b88d6d6f-63b5-4378-9d72-1b22e8e12c58_1.907a73e2f5e73168061e8e1594c45113.jpeg | https://i5.walmartimages.com/asr/a3d3e4db-460e-4048-a758-fc91b9207c75_1.9dfb2f2d13e3a2072317e16250be1b8b.jpeg	5
OGX Coconut Miracle Oil Body Wash, 19.5 Oz	5	ogx	https://i5.walmartimages.com/asr/2c5efeb0-3ef8-44d4-beb5-1a1a34bfb3b4_1.60549f1e3e9b4170b46830edb1c12d32.jpeg | https://i5.walmartimages.com/asr/1eeb74ae-2c6e-4e8e-8172-90df5e9f6e3e_1.49f7f4b36dc4ef2952f1dc8d15318b35.jpeg	5
Maybelline Great Lash Washable Mascara, Very Black	500	maybelline	https://i5.walmartimages.com/asr/62e6bfc7-3b29-431a-8f8c-8e5749782744_1.c5d3f6d4ae002d946cdd9c15e519b4a2.jpeg | https://i5.walmartimages.com/asr/1a12c71d-2168-4b89-8de0-fcf4a6f77e49_1.45888b9a3205a53085b727bf3e5dbad4.jpeg	5
Oral-B Pro 1000 Rechargeable Electric Toothbrush, Black	1000	oral-b	https://i5.walmartimages.com/asr/a35b1e84-7e8c-4d1f-8d3e-5adf305e6c5b_1.3e4995dba46c9cb49ea3e8f739d90230.jpeg | https://i5.walmartimages.com/asr/5f7f5d85-f6c9-4b9f-bcb2-baa9e5d5fb2d_1.3c892b1c1c74ff3b8a03f1d5b56d4f1e.jpeg	5
Olay Regenerist Micro-Sculpting Cream, 1.7 oz	300	olay	https://i5.walmartimages.com/asr/3e88a4a2-b6a3-4d90-84a3-1e1ab7a1dbdb_1.015e94aeb9d25a24c4fa739dcf978325.jpeg | https://i5.walmartimages.com/asr/14b5c6cf-f0ab-4a66-9100-6a109d5c9f29_1.8d8a5cda7ed0c0bfa3d24a5b74647d6f.jpeg	5
Philips Norelco Multigroom Series 7000, 23 pieces	200	philips norelco	https://i5.walmartimages.com/asr/19b2dfd0-b5a7-4c48-8d4b-1e37f43ab912_1.0e2c6c6a5b91c68a8f5e7f37c0b3f3cd.jpeg | https://i5.walmartimages.com/asr/a32901d8-8969-4e8a-8a8c-f3c0d52e3441_1.b2d2d9307450c4b98e870582420d6162.jpeg	5
Cetaphil Daily Facial Cleanser, 16 oz	150	cetaphil	https://i5.walmartimages.com/asr/78693c18-9c3d-4e10-9cc2-1a5fb39eec42_1.0b6e8a35f4f6f1c6e897cd8a29310ae1.jpeg | https://i5.walmartimages.com/asr/765f1d4f-4f3a-4218-9b2b-fb4a45025ad2_1.c3ff12158f057191a3ab790378b8282f.jpeg	5
Aveeno Positively Radiant Daily Moisturizer SPF 15, 4 oz	100	aveeno	https://i5.walmartimages.com/asr/3048dfc0-4b23-4e10-91e5-3d3e63bcd6d3_1.151a4e3f8287c3aeae4d9b2cc41cde4e.jpeg | https://i5.walmartimages.com/asr/2ef98470-2741-4b91-bd1a-3d28302e0fa5_1.284c4b6155b226b98bcd6f9de36b7a92.jpeg	5
Neutrogena Ultra Sheer Dry-Touch Sunscreen SPF 100, 3 oz	250	neutrogena	https://i5.walmartimages.com/asr/f2de34d3-ec4a-47c1-9146-4b03e2371e3b_1.d614b7f80529cf703245a7e121d8db08.jpeg | https://i5.walmartimages.com/asr/a4a1e96f-b9e1-4346-9ff0-686c8e4c5df1_1.8317b39fbbfc1e2cb0a78ab76a8195da.jpeg	5
Dove Beauty Bar, White, 4 oz, 6 Bar Pack	350	dove	https://i5.walmartimages.com/asr/71409e15-c80d-43f4-bd65-4ac99b0d6e85_1.f07b7f8231ff24b5403f216a52f9e362.jpeg | https://i5.walmartimages.com/asr/a6e70a34-295d-4117-875a-417f053b3ff0_1.9e9d49a5e53fa83f2c7c5e6a49d4b748.jpeg	5
Gillette Fusion5 Men's Razor Blades, 8 Blade Refills	450	gillette	https://i5.walmartimages.com/asr/75928972-bd35-4a2f-885b-3a373184e4f5_1.4bcb72d5010cf0fbbd7cdbb524e8c3e7.jpeg | https://i5.walmartimages.com/asr/2b89e2ec-2ec4-46a4-8d80-5c83c69a8371_1.1ecf8a77917bb1e25458b6ef2b7b06c4.jpeg	5
